site_visits,products_viewed_per_visit,avg_time_on_site,items_in_cart,purchases,total_spent,country
2.968854395325747,7.934443680416835,2.28,4,1,19.033745714144473,USA
8.358300787461568,9.109786234005927,4.36,4,0,0.0,Brazil
5.25364969201801,2.348625541567985,4.35,3,0,0.0,France
7.715965727647558,8.746557746039421,6.5,2,1,26.286067066422653,Brazil
6.178371551707901,6.157039269140368,6.29,3,2,31.343440794828076,India
4.520219933754952,3.487450419661216,7.58,4,0,0.0,India
2.441342112525347,9.86705980332054,6.73,6,0,0.0,France
1.650746506396085,8.779665558240907,2.09,4,3,45.8461621239002,Italy
8.373366111129913,7.5514701775613124,8.1,5,1,24.483768251512487,Germany
6.508759398680246,7.871443985510197,3.44,5,0,0.0,India
0.5176443208480161,8.182224823348465,6.16,2,1,26.676169409826713,France
4.210898118855682,2.937939578243178,6.62,3,2,119.9629208623972,USA
4.211560578430346,1.9627045548880027,3.91,3,0,0.0,India
4.540564498436069,1.7007427830098605,8.18,2,1,27.681863763873988,USA
8.228194211548075,7.665642335608361,5.37,6,1,13.013768290297895,France
4.946918073479924,1.9219338484085404,2.37,3,1,8.379555597829292,Italy
6.694393725632861,3.515976457710414,4.97,1,1,57.1793031623302,Germany
3.6054727099479518,7.574235245604028,6.98,1,1,52.68370717063534,India
2.1982900574547455,10.489642345147873,7.85,3,2,39.299694261329634,France
6.662153708137046,5.972257208366076,7.89,5,1,79.88900691117907,USA
4.87805014236773,1.1323977940421068,4.73,2,2,47.37654848201555,Germany
4.641855680983912,3.506043039577044,3.06,1,1,43.2305009247468,USA
5.5441532933006155,7.655488622948553,3.54,4,0,0.0,India
6.522959583901423,4.643138516214317,2.75,1,0,0.0,USA
10.198295970308285,7.726693082133093,4.52,2,1,49.78780015065795,India
2.4315980599998492,1.742583285417119,5.58,6,0,0.0,India
4.525406464429238,2.1209255913408604,6.16,2,1,94.38135527777695,Germany
3.092796949398755,10.052664979217639,4.84,3,1,45.931066669272845,Germany
2.2420709720412666,9.523011151428255,2.16,2,0,0.0,Brazil
2.5836310521527963,9.634958225749,3.31,3,1,21.803030456840652,Brazil
9.287613104571818,6.355439326344875,6.62,2,2,133.12670934355515,Italy
8.612011803737532,7.819869326569195,6.16,3,2,95.79843400079346,France
6.292825340415615,7.149150685164029,4.51,4,1,20.923154366376956,Brazil
9.354387933166358,7.13377135823902,3.07,5,1,57.58095171294848,France
3.67931064911211,7.212305690618302,5.72,2,0,0.0,Brazil
1.956897685373227,9.639917061844322,4.55,1,1,72.0388837583702,Italy
2.2817017473206964,9.650253878910059,3.39,4,0,0.0,France
5.5939639383847295,3.1916498988124182,2.9,8,2,78.06859066885751,France
9.722603792996427,6.836301973830481,5.93,5,2,44.10889029039,Italy
5.90013968948024,6.656903638003981,3.12,5,1,25.465453639509427,Germany
6.42881485481947,6.670423529701458,4.47,4,0,0.0,France
4.1886600092842246,1.8423690902137764,5.36,0,0,0.0,Brazil
7.611937812714091,7.531150313514612,4.9,3,2,21.60371354911455,France
4.94801478132918,8.880006966012017,10.35,1,1,36.83848353452497,USA
4.603298796351256,0.23536506809423252,3.08,4,3,218.6718979491005,Italy
2.6793822455776786,8.561058078871046,5.82,6,3,142.22911657705646,Brazil
6.94687264136679,7.624109840137835,4.07,5,3,294.7811779716491,Italy
5.731985620210527,1.425264379733797,6.87,5,1,6.1713199693584215,Italy
3.123520767149045,8.304497135964786,4.85,1,0,0.0,Italy
2.7326636054246025,8.664969332080124,7.14,2,1,66.91735255907903,France
5.050262113014993,3.1878364640736345,1.48,4,0,0.0,Germany
2.525185237154366,1.549268611608136,2.77,2,2,147.95220885425874,India
6.402038371598265,7.797371235453234,6.71,2,2,76.31322620815936,USA
5.682138651113096,7.336605202780042,7.71,1,1,66.29931635688995,Brazil
2.9974714655042947,9.64761295426956,8.03,0,0,0.0,USA
